GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
chocolates_back,com.nst_project.project,ProjectApplication,5,3,0,0,2,1,1,1,1,1
chocolates_back,com.nst_project.project.exception,CategoryException,0,4,0,0,0,2,0,1,0,1
chocolates_back,com.nst_project.project.exception,CustomerException,0,4,0,0,0,2,0,1,0,1
chocolates_back,com.nst_project.project.exception,ChocolateException,3,4,0,0,2,2,1,1,1,1
chocolates_back,com.nst_project.project.exception,UserNotFoundAdvice,12,3,0,0,3,1,1,1,1,1
chocolates_back,com.nst_project.project.exception,OrderItemException,4,0,0,0,2,0,1,0,1,0
chocolates_back,com.nst_project.project.exception,UserNotFoundException,5,0,0,0,2,0,1,0,1,0
chocolates_back,com.nst_project.project.exception,AdminException,0,4,0,0,0,2,0,1,0,1
chocolates_back,com.nst_project.project.exception,OrderException,0,4,0,0,0,2,0,1,0,1
chocolates_back,com.nst_project.project.dtos,AdminDto,0,46,0,0,0,20,0,10,0,10
chocolates_back,com.nst_project.project.dtos,OrderItemDto,0,46,0,0,0,20,0,10,0,10
chocolates_back,com.nst_project.project.dtos,ChocolateDto,0,76,0,0,0,32,0,16,0,16
chocolates_back,com.nst_project.project.dtos,CustomerDto,36,89,5,9,3,25,7,13,2,11
chocolates_back,com.nst_project.project.dtos,CategoryDto,29,73,4,8,3,21,6,11,2,9
chocolates_back,com.nst_project.project.dtos,OrderDto,0,46,0,0,0,20,0,10,0,10
chocolates_back,com.nst_project.project.serviceImpl,AdminServiceImpl,0,38,0,2,0,9,0,3,0,2
chocolates_back,com.nst_project.project.serviceImpl,OrderItemServiceImpl,18,59,0,2,2,12,1,4,1,3
chocolates_back,com.nst_project.project.serviceImpl,ChocolateServiceImpl,17,77,1,1,3,14,2,6,1,6
chocolates_back,com.nst_project.project.serviceImpl,OrderServiceImpl,29,86,1,1,4,14,3,6,2,6
chocolates_back,com.nst_project.project.serviceImpl,CategoryServiceImpl,17,77,1,1,3,14,2,6,1,6
chocolates_back,com.nst_project.project.serviceImpl,CustomerServiceImpl,17,106,1,3,4,19,2,8,1,7
chocolates_back,com.nst_project.project.mapper,CategoryMapper,20,3,0,0,2,1,2,1,2,1
chocolates_back,com.nst_project.project.mapper,ChocolateMapper,46,8,0,0,4,2,2,1,2,1
chocolates_back,com.nst_project.project.mapper,OrderMapper,34,8,0,0,4,2,2,1,2,1
chocolates_back,com.nst_project.project.mapper,CustomerMapper,24,3,0,0,2,1,2,1,2,1
chocolates_back,com.nst_project.project.mapper,AdminMapper,24,3,0,0,2,1,2,1,2,1
chocolates_back,com.nst_project.project.mapper,OrderItemMapper,44,13,0,0,6,3,2,1,2,1
chocolates_back,com.nst_project.project.model,Order,20,26,0,0,8,12,6,4,6,4
chocolates_back,com.nst_project.project.model,OrderItem,24,22,0,0,10,10,7,3,7,3
chocolates_back,com.nst_project.project.model,Admin,22,24,0,0,10,10,6,4,6,4
chocolates_back,com.nst_project.project.model,Category,9,27,0,0,3,13,3,5,3,5
chocolates_back,com.nst_project.project.model,Customer,6,40,0,0,2,18,2,8,2,8
chocolates_back,com.nst_project.project.model,Chocolate,37,39,0,0,15,17,11,5,11,5
chocolates_back,com.nst_project.project.controller,AdminController,0,23,0,0,0,7,0,2,0,2
chocolates_back,com.nst_project.project.controller,ChocolateController,7,68,0,0,2,18,0,6,0,6
chocolates_back,com.nst_project.project.controller,OrderItemController,14,30,0,0,4,8,0,4,0,4
chocolates_back,com.nst_project.project.controller,CategoryController,7,68,0,0,2,18,0,6,0,6
chocolates_back,com.nst_project.project.controller,CustomerController,7,85,0,0,2,22,0,7,0,7
chocolates_back,com.nst_project.project.controller,OrderController,12,59,0,0,3,16,1,6,1,6
